ID,Title,Year,Rating ,Rating_count
tt0059578,For a Few Dollars More,1965,8.2,"2,04,772"
tt0053604,The Apartment,1960,8.2,"1,42,961"
tt0017136,Metropolis,1927,8.2,"1,42,774"
tt0071853,Monty Python and the Holy Grail,1975,8.2,"4,59,704"
tt0119488,L.A. Confidential,1997,8.2,"4,91,834"
tt1832382,A Separation,2011,8.2,"1,95,482"
tt0097576,Indiana Jones and the Last Crusade,1989,8.2,"6,31,209"
tt1049413,Up,2009,8.2,"8,41,255"
tt0042876,Rashômon,1950,8.2,"1,33,776"
tt0042192,All About Eve,1950,8.2,"1,07,685"
tt0372784,Batman Begins,2005,8.2,"11,88,639"
tt0053291,Some Like It Hot,1959,8.2,"2,19,382"
tt0055630,Yojimbo,1961,8.2,"96,792"
tt0363163,Downfall,2004,8.2,"3,04,105"
tt0105695,Unforgiven,1992,8.2,"3,39,826"
tt0095016,Die Hard,1988,8.2,"7,17,730"
tt0113277,Heat,1995,8.2,"5,22,231"
tt0040897,The Treasure of the Sierra Madre,1948,8.2,"1,01,974"
tt1255953,Incendies,2010,8.2,"1,23,425"
tt0044741,Ikiru,1952,8.2,"58,385"
tt6966692,Green Book,2018,8.2,"1,93,829"
tt0081398,Raging Bull,1980,8.2,"2,86,934"
tt0057115,The Great Escape,1963,8.2,"2,04,342"
tt0118849,Children of Heaven,1997,8.2,"51,994"
tt0457430,Pan's Labyrinth,2006,8.2,"5,70,346"
tt0071315,Chinatown,1974,8.2,"2,65,085"
tt0096283,My Neighbor Totoro,1988,8.2,"2,37,612"
tt0041959,The Third Man,1949,8.2,"1,43,562"
tt0347149,Howl's Moving Castle,2004,8.2,"2,81,572"
tt0476735,Babam ve Oglum,2005,8.2,"66,278"
tt0089881,Ran,1985,8.2,"99,182"
tt0055031,Judgment at Nuremberg,1961,8.2,"61,535"
tt1305806,The Secret in Their Eyes,2009,8.2,"1,72,373"
tt0015864,The Gold Rush,1925,8.2,"89,224"
tt0268978,A Beautiful Mind,2001,8.2,"7,67,846"
tt0050212,The Bridge on the River Kwai,1957,8.2,"1,85,636"
tt0120735,"Lock, Stock and Two Smoking Barrels",1998,8.2,"4,91,831"
tt0112641,Casino,1995,8.2,"4,12,564"
tt0050976,The Seventh Seal,1957,8.1,"1,42,934"
tt5027774,"Three Billboards Outside Ebbing, Missouri",2017,8.1,"3,39,946"
tt0047296,On the Waterfront,1954,8.1,"1,28,454"
tt0993846,The Wolf of Wall Street,2013,8.1,"10,29,494"
tt0080678,The Elephant Man,1980,8.1,"1,99,697"
tt2096673,Inside Out,2015,8.1,"5,32,784"
tt0434409,V for Vendetta,2005,8.1,"9,49,257"
tt0031679,Mr. Smith Goes to Washington,1939,8.1,"97,947"
tt3170832,Room,2015,8.1,"3,14,524"
tt1291584,Warrior,2011,8.1,"4,02,440"
tt0083658,Blade Runner,1982,8.1,"6,25,302"
tt0046912,Dial M for Murder,1954,8.1,"1,40,067"
tt0477348,No Country for Old Men,2007,8.1,"7,64,030"
tt0469494,There Will Be Blood,2007,8.1,"4,61,817"
tt8108198,Andhadhun,2018,8.1,"41,901"
tt0050986,Wild Strawberries,1957,8.1,"83,932"
tt0167404,The Sixth Sense,1999,8.1,"8,41,666"
tt0017925,The General,1926,8.1,"71,531"
tt0117951,Trainspotting,1996,8.1,"5,88,027"
tt0031381,Gone with the Wind,1939,8.1,"2,63,425"
tt0084787,The Thing,1982,8.1,"3,29,676"
tt0116282,Fargo,1996,8.1,"5,59,716"
tt0091251,Come and See,1985,8.1,"43,245"
tt1205489,Gran Torino,2008,8.1,"6,67,774"
tt0266543,Finding Nemo,2003,8.1,"8,63,637"
tt0077416,The Deer Hunter,1978,8.1,"2,83,446"
tt1130884,Shutter Island,2010,8.1,"10,00,897"
tt0118715,The Big Lebowski,1998,8.1,"6,60,977"
tt0266697,Kill Bill: Vol. 1,2003,8.1,"9,02,034"
tt0015324,Sherlock Jr.,1924,8.1,"32,906"
tt0061512,Cool Hand Luke,1967,8.1,"1,48,144"
tt0046438,Tokyo Story,1953,8.1,"43,581"
tt0978762,Mary and Max,2009,8.1,"1,50,444"
tt0032976,Rebecca,1940,8.1,"1,10,490"
tt2119532,Hacksaw Ridge,2016,8.1,"3,64,022"
tt0107290,Jurassic Park,1993,8.1,"7,80,099"
tt0892769,How to Train Your Dragon,2010,8.1,"6,08,435"
tt2267998,Gone Girl,2014,8.1,"7,58,065"
tt3011894,Relatos salvajes,2014,8.1,"1,50,235"
tt0120382,The Truman Show,1998,8.1,"8,35,387"
tt0018455,Sunrise,1927,8.1,"43,114"
tt0079944,Stalker,1979,8.1,"97,400"
tt2278388,The Grand Budapest Hotel,2014,8.1,"6,31,019"
tt0107207,In the Name of the Father,1993,8.1,"1,40,912"
tt0092005,Stand by Me,1986,8.1,"3,32,536"
tt0758758,Into the Wild,2007,8.1,"5,22,837"
tt0025316,It Happened One Night,1934,8.1,"84,510"
tt0091763,Platoon,1986,8.1,"3,50,296"
tt0353969,Memories of Murder,2003,8.1,"99,881"
tt0074958,Network,1976,8.1,"1,30,578"
tt0079470,Monty Python's Life of Brian,1979,8.1,"3,33,697"
tt0052618,Ben-Hur,1959,8.1,"2,00,933"
tt0060827,Persona,1966,8.1,"86,657"
tt2024544,12 Years a Slave,2013,8.1,"5,74,896"
tt0405159,Million Dollar Baby,2004,8.1,"5,84,563"
tt0395169,Hotel Rwanda,2004,8.1,"3,12,597"
tt0112471,Before Sunrise,1995,8.1,"2,37,092"
tt0169858,Neon Genesis Evangelion: The End of Evangelion,1997,8.1,"26,723"
tt0116231,The Bandit,1996,8.1,"55,124"
tt1392214,Prisoners,2013,8.1,"5,23,767"
tt1392190,Mad Max: Fury Road,2015,8.1,"7,76,614"
tt0046268,The Wages of Fear,1953,8.1,"48,056"
tt1979320,Rush,2013,8.1,"3,90,273"
tt1028532,Hachi: A Dog's Tale,2009,8.1,"2,22,302"
tt3315342,Logan,2017,8.1,"5,53,983"
tt0060107,Andrei Rublev,1966,8.1,"38,644"
tt0053198,The 400 Blows,1959,8.1,"91,970"
tt0264464,Catch Me If You Can,2002,8.1,"7,15,219"
tt1895587,Spotlight,2015,8.1,"3,62,975"
tt0019254,The Passion of Joan of Arc,1928,8.1,"40,513"
tt0245712,Amores Perros,2000,8.1,"2,06,482"
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,"6,88,767"
tt0087544,Nausicaä of the Valley of the Wind,1984,8,"1,27,642"
tt0093779,The Princess Bride,1987,8,"3,57,257"
tt0075148,Rocky,1976,8,"4,70,822"
tt0072684,Barry Lyndon,1975,8,"1,31,932"
tt0064115,Butch Cassidy and the Sundance Kid,1969,8,"1,86,695"
tt0405508,Rang De Basanti,2006,8,"1,00,231"
tt0198781,"Monsters, Inc.",2001,8,"7,36,002"
tt0097165,Dead Poets Society,1989,8,"3,67,408"
tt0032551,The Grapes of Wrath,1940,8,"80,640"
tt0033870,The Maltese Falcon,1941,8,"1,40,084"
tt0088247,The Terminator,1984,8,"7,26,682"
tt0101640,Raise the Red Lantern,1991,8,"25,586"
tt4016934,The Handmaiden,2016,8,"78,025"
tt0083987,Gandhi,1982,8,"2,06,767"
tt0113247,La Haine,1995,8,"1,31,502"
tt0246578,Donnie Darko,2001,8,"6,95,874"
tt0118694,In the Mood for Love,2000,8,"1,05,234"
tt0046911,Diabolique,1955,8,"56,402"
tt0107048,Groundhog Day,1993,8,"5,39,689"
tt1454029,The Help,2011,8,"3,91,358"
tt0032138,The Wizard of Oz,1939,8,"3,51,009"
tt0073195,Jaws,1975,8,"5,08,521"
tt2015381,Guardians of the Galaxy,2014,8,"9,41,161"
tt0381681,Before Sunset,2004,8,"2,07,302"
tt0092067,Castle in the Sky,1986,8,"1,27,308"
tt0087884,"Paris, Texas",1984,8,"74,238"
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8,"9,61,415"
tt0050783,The Nights of Cabiria,1957,8,"38,629"
tt0101414,Beauty and the Beast,1991,8,"3,87,954"
tt0070047,The Exorcist,1973,8,"3,32,258"
tt0111495,Three Colors: Red,1994,8,"79,786"
tt0094625,Akira,1988,8,"1,38,660"
tt1954470,Gangs of Wasseypur,2012,8,"68,718"
tt2338151,PK,2014,8,"1,37,003"
